timestamp,rpm,temperature,vibration,oil_pressure,voltage,rpm_rolling_mean,rpm_rolling_std,temperature_rolling_mean,temperature_rolling_std,vibration_rolling_mean,vibration_rolling_std,oil_pressure_rolling_mean,oil_pressure_rolling_std,voltage_rolling_mean,voltage_rolling_std,temperature_roc,vibration_roc,temperature_cumulative_drift
2025-01-01 00:00:00,-0.00225,-1.635404,-1.71844,0.590774,-0.13367,-0.002517,-0.77752,-1.681595,-1.562971,-1.720236,-1.531826,1.343354,-2.387922,-0.747501,-6.136905,-0.017498,-0.055097,-1.094541
2025-01-01 00:00:01,-0.350695,-1.5369,-1.728993,-0.142884,0.105093,-0.197696,-0.2879,-1.630833,-1.185395,-1.725531,-1.416585,0.508705,-1.330456,-0.077881,-5.382147,-0.017498,-0.055097,-1.094541
2025-01-01 00:00:02,0.095328,-1.371413,-1.666017,0.101669,-0.728142,-0.096198,-0.239491,-1.557058,-0.727938,-1.706231,-0.93035,0.415967,-1.508661,-1.412567,-3.921933,-0.017498,-0.055097,-1.094524
2025-01-01 00:00:03,-0.225744,-1.552661,-1.621083,0.020151,-0.109307,-0.135372,-0.281457,-1.566872,-0.828841,-1.685308,-0.586594,0.323228,-1.599733,-1.212136,-4.17918,-0.017498,-0.055097,-1.094524
2025-01-01 00:00:04,0.172939,-1.887574,-1.731376,0.427739,0.845746,-0.069549,-0.224416,-1.641797,-0.269334,-1.69489,-0.589095,0.453062,-1.609959,-0.020485,-2.930275,-0.017498,-0.055097,-1.094524
2025-01-01 00:00:05,-0.025758,-1.52705,-1.69325,0.672291,-1.093596,-0.062766,-0.271176,-1.629817,-0.365356,-1.694901,-0.671234,0.632357,-1.514788,-1.039037,-2.243467,-0.017498,-0.055097,-1.094524
2025-01-01 00:00:06,0.182922,-1.899395,-1.888304,-0.468954,-0.898687,-0.024524,-0.253138,-1.676083,-0.17015,-1.722871,0.158874,0.38947,-1.282647,-1.610394,-2.202221,-0.017498,-0.055097,-1.094524
2025-01-01 00:00:07,0.262466,-1.469917,-1.792649,0.672291,-0.981523,0.015296,-0.220336,-1.655452,-0.19831,-1.73185,0.132059,0.53189,-1.249133,-2.096992,-2.180617,-0.017498,-0.055097,-1.094518
2025-01-01 00:00:08,0.01514,-1.659045,-1.70176,0.672291,0.616729,0.015481,-0.2522,-1.661064,-0.27095,-1.7287,0.048842,0.642661,-1.243231,-1.479377,-1.91909,-0.017498,-0.055097,-1.094518
2025-01-01 00:00:09,0.127532,-1.471887,-1.67691,-0.468954,-0.703778,0.028221,-0.27002,-1.646264,-0.293541,-1.723686,0.003049,0.47161,-1.122231,-1.725967,-2.049578,-0.017498,-0.055097,-1.094512
2025-01-01 00:00:10,-0.083403,-1.501439,-1.726269,1.895054,-0.806105,0.017161,-0.285749,-1.636924,-0.332839,-1.724087,-0.068121,0.820645,-0.540799,-1.979901,-2.136067,-0.017498,-0.055097,-1.094509
2025-01-01 00:00:11,-0.245066,-1.448246,-1.612232,0.427739,0.806765,-0.007147,-0.265085,-1.624572,-0.346428,-1.714885,0.019039,0.833291,-0.618638,-1.43762,-1.803037,-0.017498,-0.055097,-1.094501
2025-01-01 00:00:12,0.405773,-1.617673,-1.805925,-0.387436,0.92371,0.028371,-0.19644,-1.627553,-0.391634,-1.722049,0.053098,0.701317,-0.592076,-0.928309,-1.522554,-0.017498,-0.055097,-1.094501
2025-01-01 00:00:13,-0.333305,-1.594032,-1.691548,-0.224401,0.699565,-0.000327,-0.160343,-1.628367,-0.434031,-1.719992,0.003952,0.614693,-0.612736,-0.58156,-1.47245,-0.017498,-0.055097,-1.094501
2025-01-01 00:00:14,0.188719,-1.142884,-1.666357,-0.468954,-0.552724,0.01379,-0.166725,-1.598074,-0.184449,-1.716524,-0.021482,0.502523,-0.592386,-0.749323,-1.575408,-0.017498,-0.055097,-1.094459
2025-01-01 00:00:15,-0.174862,-1.412785,-1.747034,-0.061366,0.723928,0.000685,-0.172569,-1.588954,-0.20261,-1.71855,-0.059509,0.462336,-0.638254,-0.448563,-1.529237,-0.017498,-0.055097,-1.094447
2025-01-01 00:00:16,-0.146845,-1.657075,-1.833498,-0.876542,-0.562469,-0.009032,-0.182587,-1.595717,-0.227974,-1.72544,0.017407,0.317773,-0.539139,-0.607628,-1.609648,-0.017498,-0.055097,-1.094447
2025-01-01 00:00:17,0.147176,-1.363533,-1.709249,0.264704,0.158693,0.00063,-0.190776,-1.584921,-0.224005,-1.724639,-0.024525,0.333532,-0.589343,-0.524294,-1.72019,-0.017498,-0.055097,-1.09443
2025-01-01 00:00:18,0.319789,-1.422635,-1.689165,-0.795024,0.874983,0.019452,-0.17231,-1.578468,-0.243901,-1.722861,-0.05557,0.220727,-0.535276,-0.238273,-1.625645,-0.017498,-0.055097,-1.094418
2025-01-01 00:00:19,0.138803,-1.357623,-1.709589,1.650502,-0.357815,0.026255,-0.182963,-1.569309,-0.243455,-1.722286,-0.091915,0.397419,-0.3354,-0.326597,-1.718511,-0.017498,-0.055097,-1.0944
2025-01-01 00:00:20,0.45118,-1.576302,-1.742609,-0.876542,-0.153161,0.049074,-0.143327,-1.571755,-0.272687,-1.723343,-0.122853,0.283483,-0.283406,-0.351846,-1.823116,-0.017498,-0.055097,-1.0944
2025-01-01 00:00:21,0.407705,-1.438396,-1.66057,-1.936269,0.684947,0.067604,-0.122312,-1.567518,-0.294108,-1.720562,-0.127583,0.070304,0.011989,-0.161117,-1.80869,-0.017498,-0.055097,-1.094391
2025-01-01 00:00:22,0.184533,-1.706327,-1.749758,0.020151,1.674109,0.073653,-0.132773,-1.575656,-0.289934,-1.721914,-0.151529,0.069204,-0.040753,0.254256,-1.368123,-0.017498,-0.055097,-1.094391
