timestamp,multivariate_distance,is_knn_anomaly
2025-01-01 00:00:00,0.415,0
2025-01-01 00:00:01,0.4861,0
2025-01-01 00:00:02,0.3388,0
2025-01-01 00:00:03,0.3806,0
2025-01-01 00:00:04,0.2845,0
2025-01-01 00:00:05,0.3647,0
2025-01-01 00:00:06,0.4945,0
2025-01-01 00:00:07,0.3984,0
2025-01-01 00:00:08,0.3349,0
2025-01-01 00:00:09,0.3185,0
2025-01-01 00:00:10,0.649,0
2025-01-01 00:00:11,0.4672,0
2025-01-01 00:00:12,0.382,0
2025-01-01 00:00:13,0.4605,0
2025-01-01 00:00:14,0.3688,0
2025-01-01 00:00:15,0.4497,0
2025-01-01 00:00:16,0.5642,0
2025-01-01 00:00:17,0.2709,0
2025-01-01 00:00:18,0.3819,0
2025-01-01 00:00:19,0.5326,0
2025-01-01 00:00:20,0.3875,0
2025-01-01 00:00:21,0.6746,0
2025-01-01 00:00:22,0.5027,0
2025-01-01 00:00:23,0.4581,0
2025-01-01 00:00:24,0.5344,0
2025-01-01 00:00:25,0.6428,0
2025-01-01 00:00:26,0.3813,0
2025-01-01 00:00:27,0.3597,0
2025-01-01 00:00:28,0.6924,0
2025-01-01 00:00:29,0.2901,0
2025-01-01 00:00:30,0.3518,0
2025-01-01 00:00:31,0.3551,0
2025-01-01 00:00:32,0.5856,0
2025-01-01 00:00:33,0.4233,0
2025-01-01 00:00:34,0.3959,0
2025-01-01 00:00:35,0.5305,0
2025-01-01 00:00:36,0.4063,0
2025-01-01 00:00:37,0.3977,0
2025-01-01 00:00:38,0.9687,1
2025-01-01 00:00:39,0.6179,0
2025-01-01 00:00:40,0.4825,0
2025-01-01 00:00:41,0.7606,0
2025-01-01 00:00:42,1.1259,1
2025-01-01 00:00:43,0.4337,0
2025-01-01 00:00:44,0.4222,0
2025-01-01 00:00:45,0.6223,0
2025-01-01 00:00:46,0.4213,0
2025-01-01 00:00:47,0.4078,0
2025-01-01 00:00:48,0.5308,0
2025-01-01 00:00:49,0.3936,0
2025-01-01 00:00:50,1.2595,1
2025-01-01 00:00:51,0.6844,0
2025-01-01 00:00:52,0.3711,0
2025-01-01 00:00:53,0.4753,0
2025-01-01 00:00:54,0.5441,0
2025-01-01 00:00:55,0.4008,0
2025-01-01 00:00:56,0.6855,0
2025-01-01 00:00:57,0.4121,0
2025-01-01 00:00:58,0.3336,0
2025-01-01 00:00:59,0.85,0
2025-01-01 00:01:00,0.5507,0
2025-01-01 00:01:01,0.5062,0
2025-01-01 00:01:02,0.3661,0
2025-01-01 00:01:03,0.8469,0
2025-01-01 00:01:04,0.5362,0
2025-01-01 00:01:05,0.5309,0
2025-01-01 00:01:06,0.351,0
2025-01-01 00:01:07,0.535,0
2025-01-01 00:01:08,0.3744,0
2025-01-01 00:01:09,0.3982,0
2025-01-01 00:01:10,0.3283,0
2025-01-01 00:01:11,0.3316,0
2025-01-01 00:01:12,0.4098,0
2025-01-01 00:01:13,0.6715,0
2025-01-01 00:01:14,0.6652,0
2025-01-01 00:01:15,0.5029,0
2025-01-01 00:01:16,0.3664,0
2025-01-01 00:01:17,0.3453,0
2025-01-01 00:01:18,0.4419,0
2025-01-01 00:01:19,0.3536,0
2025-01-01 00:01:20,0.4385,0
2025-01-01 00:01:21,0.3271,0
2025-01-01 00:01:22,0.4704,0
2025-01-01 00:01:23,0.3363,0
2025-01-01 00:01:24,0.5539,0
2025-01-01 00:01:25,0.558,0
2025-01-01 00:01:26,0.598,0
2025-01-01 00:01:27,0.4153,0
2025-01-01 00:01:28,0.8596,1
2025-01-01 00:01:29,0.4052,0
2025-01-01 00:01:30,0.4193,0
2025-01-01 00:01:31,0.3985,0
2025-01-01 00:01:32,0.3056,0
2025-01-01 00:01:33,0.3365,0
2025-01-01 00:01:34,0.5038,0
2025-01-01 00:01:35,0.464,0
2025-01-01 00:01:36,0.6238,0
2025-01-01 00:01:37,0.719,0
2025-01-01 00:01:38,0.3386,0
2025-01-01 00:01:39,0.3539,0
2025-01-01 00:01:40,0.5056,0
2025-01-01 00:01:41,0.3804,0
2025-01-01 00:01:42,0.3987,0
2025-01-01 00:01:43,0.7139,0
2025-01-01 00:01:44,0.3192,0
2025-01-01 00:01:45,0.4621,0
2025-01-01 00:01:46,0.384,0
2025-01-01 00:01:47,0.4254,0
2025-01-01 00:01:48,0.4668,0
2025-01-01 00:01:49,0.3349,0
2025-01-01 00:01:50,0.5037,0
2025-01-01 00:01:51,0.4075,0
2025-01-01 00:01:52,0.4968,0
2025-01-01 00:01:53,0.7509,0
2025-01-01 00:01:54,0.7637,0
2025-01-01 00:01:55,0.5188,0
2025-01-01 00:01:56,0.4809,0
2025-01-01 00:01:57,0.4208,0
2025-01-01 00:01:58,0.5136,0
2025-01-01 00:01:59,0.7062,0
2025-01-01 00:02:00,0.3247,0
2025-01-01 00:02:01,0.6062,0
2025-01-01 00:02:02,0.3834,0
2025-01-01 00:02:03,0.283,0
2025-01-01 00:02:04,0.453,0
2025-01-01 00:02:05,0.5078,0
2025-01-01 00:02:06,0.3811,0
2025-01-01 00:02:07,0.3596,0
2025-01-01 00:02:08,0.3651,0
2025-01-01 00:02:09,0.5108,0
2025-01-01 00:02:10,0.3481,0
2025-01-01 00:02:11,0.3673,0
2025-01-01 00:02:12,0.4126,0
2025-01-01 00:02:13,0.567,0
2025-01-01 00:02:14,0.4772,0
2025-01-01 00:02:15,0.4682,0
2025-01-01 00:02:16,0.3548,0
2025-01-01 00:02:17,0.4256,0
2025-01-01 00:02:18,0.6253,0
2025-01-01 00:02:19,0.6827,0
2025-01-01 00:02:20,0.4923,0
2025-01-01 00:02:21,0.3451,0
2025-01-01 00:02:22,0.4784,0
2025-01-01 00:02:23,0.3862,0
2025-01-01 00:02:24,1.7705,1
2025-01-01 00:02:25,0.6787,0
2025-01-01 00:02:26,0.499,0
2025-01-01 00:02:27,0.3969,0
2025-01-01 00:02:28,0.5897,0
2025-01-01 00:02:29,0.4694,0
2025-01-01 00:02:30,0.6593,0
2025-01-01 00:02:31,0.2952,0
2025-01-01 00:02:32,0.7553,0
2025-01-01 00:02:33,0.883,1
2025-01-01 00:02:34,0.3957,0
2025-01-01 00:02:35,0.4378,0
2025-01-01 00:02:36,0.3966,0
2025-01-01 00:02:37,0.3216,0
2025-01-01 00:02:38,0.3415,0
2025-01-01 00:02:39,0.581,0
2025-01-01 00:02:40,0.5721,0
2025-01-01 00:02:41,0.3932,0
2025-01-01 00:02:42,0.4855,0
2025-01-01 00:02:43,0.5803,0
2025-01-01 00:02:44,0.489,0
