timestamp,instant_health_raw,smoothed_health_index,health_status
2025-01-01 00:00:00,100.0,100.0,GOOD
2025-01-01 00:00:01,98.71,99.94,GOOD
2025-01-01 00:00:02,100.0,99.94,GOOD
2025-01-01 00:00:03,100.0,99.94,GOOD
2025-01-01 00:00:04,100.0,99.94,GOOD
2025-01-01 00:00:05,100.0,99.95,GOOD
2025-01-01 00:00:06,98.51,99.88,GOOD
2025-01-01 00:00:07,100.0,99.88,GOOD
2025-01-01 00:00:08,100.0,99.89,GOOD
2025-01-01 00:00:09,100.0,99.89,GOOD
2025-01-01 00:00:10,94.83,99.64,GOOD
2025-01-01 00:00:11,99.16,99.62,GOOD
2025-01-01 00:00:12,100.0,99.64,GOOD
2025-01-01 00:00:13,99.32,99.62,GOOD
2025-01-01 00:00:14,100.0,99.64,GOOD
2025-01-01 00:00:15,99.58,99.64,GOOD
2025-01-01 00:00:16,96.85,99.5,GOOD
2025-01-01 00:00:17,100.0,99.52,GOOD
2025-01-01 00:00:18,100.0,99.55,GOOD
2025-01-01 00:00:19,97.6,99.45,GOOD
2025-01-01 00:00:20,100.0,99.48,GOOD
2025-01-01 00:00:21,94.22,99.21,GOOD
2025-01-01 00:00:22,98.31,99.17,GOOD
2025-01-01 00:00:23,99.38,99.18,GOOD
2025-01-01 00:00:24,97.56,99.1,GOOD
2025-01-01 00:00:25,94.98,98.89,GOOD
2025-01-01 00:00:26,100.0,98.95,GOOD
2025-01-01 00:00:27,100.0,99.0,GOOD
2025-01-01 00:00:28,93.8,98.74,GOOD
2025-01-01 00:00:29,100.0,98.8,GOOD
2025-01-01 00:00:30,100.0,98.86,GOOD
2025-01-01 00:00:31,100.0,98.92,GOOD
2025-01-01 00:00:32,96.34,98.79,GOOD
2025-01-01 00:00:33,100.0,98.85,GOOD
2025-01-01 00:00:34,100.0,98.91,GOOD
2025-01-01 00:00:35,97.65,98.85,GOOD
2025-01-01 00:00:36,100.0,98.9,GOOD
2025-01-01 00:00:37,100.0,98.96,GOOD
2025-01-01 00:00:38,87.22,98.37,GOOD
2025-01-01 00:00:39,95.57,98.23,GOOD
